,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
285,yokadouma,100,CM,1580357755,34,3.52,15.05,64.69,2.48
286,lagoa,100,PT,1580357756,87,39.05,-27.98,62.76,16.75
287,lakewood,40,US,1580357756,92,39.7,-105.08,35.01,5.64
288,pyapon,4,MM,1580357756,34,16.28,95.68,77.54,4.94
289,waddan,0,LY,1580357756,50,29.16,16.14,56.59,2.64
290,uhlove,99,UA,1580357756,69,44.82,33.6,45.57,6.78
291,belaya gora,97,RU,1580357756,82,68.53,146.42,-12.55,5.7
292,palauig,0,PH,1580357640,57,15.44,119.9,79.86,10.16
293,nicoya,40,CR,1580357701,88,10.15,-85.45,78.8,3.36
294,barabai,100,ID,1580357756,73,-2.58,115.38,85.86,0.98
295,ningyang,0,CN,1580357757,31,35.76,116.79,38.86,4.07
296,igarka,100,RU,1580357757,98,67.47,86.58,-8.61,6.26
297,los llanos de aridane,95,ES,1580357582,39,28.66,-17.92,70.0,5.82
298,kokopo,100,PG,1580357757,74,-4.35,152.26,83.98,11.99
299,chase,5,CA,1580357757,69,50.82,-119.69,35.6,5.82
300,buncrana,100,IE,1580357757,94,55.13,-7.45,42.71,7.45
301,beringovskiy,83,RU,1580357757,100,63.05,179.32,-3.82,9.64
302,dabola,0,GN,1580357757,16,10.75,-11.12,66.58,2.57
303,zapolyarnyy,100,RU,1580357757,84,69.42,30.81,3.2,12.75
304,san ignacio,40,BZ,1580357757,94,17.16,-89.07,75.2,2.82
305,rio grande,73,BR,1580357758,86,-32.03,-52.1,73.0,5.73
306,new norfolk,0,AU,1580357758,11,-42.78,147.06,96.8,13.87
307,qinzhou,8,CN,1580357758,44,21.95,108.62,59.83,9.15
308,kokoda,100,PG,1580357758,73,-8.88,147.74,73.76,6.67
309,monrovia,20,LR,1580357758,94,6.3,-10.8,77.0,6.15
310,coihaique,90,CL,1580357504,54,-45.58,-72.07,53.6,10.29
311,lavrentiya,0,RU,1580357758,71,65.58,-171.0,-13.0,11.21
312,aksu,0,CN,1580357758,68,41.12,80.26,24.39,3.67
313,tazovskiy,98,RU,1580357758,96,67.47,78.7,-11.79,11.12
314,yar-sale,85,RU,1580357758,95,66.83,70.83,-16.2,10.76
315,ugoofaaru,66,MV,1580357759,72,5.67,73.0,80.85,11.86
316,opelousas,90,US,1580357759,93,30.53,-92.08,54.0,5.82
317,kralendijk,0,BQ,1580357550,78,12.15,-68.27,78.8,9.17
318,kholmogory,20,RU,1580357759,83,64.22,41.66,-13.0,4.47
319,severo-kurilsk,100,RU,1580357759,85,50.68,156.12,23.07,1.36
320,mao,62,ES,1580357759,100,39.89,4.27,53.6,5.82
321,ahuimanu,40,US,1580357547,73,21.44,-157.84,82.4,5.82
322,plover,90,US,1580357759,100,44.46,-89.54,25.0,1.1
323,iroquois falls,75,CA,1580357759,83,48.77,-80.68,-5.8,2.24
324,macedo de cavaleiros,82,PT,1580357759,99,41.54,-6.96,48.0,6.42
325,barentu,0,ER,1580357538,83,15.11,37.59,55.06,1.74
326,lompoc,1,US,1580357736,81,34.64,-120.46,57.99,13.22
327,praia,0,CV,1580357760,64,14.92,-23.51,69.8,8.05
328,fort nelson,40,CA,1580357760,84,58.81,-122.7,1.4,0.27
329,naze,75,JP,1580357760,48,28.37,129.48,60.8,17.22
330,marsh harbour,63,BS,1580357760,78,26.54,-77.06,72.91,14.63
331,comodoro rivadavia,100,AR,1580357554,32,-45.87,-67.5,66.2,23.04
332,puerto escondido,20,MX,1580357760,69,15.85,-97.07,78.8,2.04
333,gubkinskiy,100,RU,1580357760,95,64.43,76.5,-7.1,13.73
334,inongo,99,CD,1580357760,64,-1.95,18.27,73.85,3.15
335,zonguldak,100,TR,1580357761,96,41.25,31.83,36.45,3.78
336,suntar,100,RU,1580357525,89,62.14,117.63,11.26,8.93
337,rio gallegos,40,AR,1580357468,62,-51.62,-69.22,53.6,17.22
338,uige,100,AO,1580357761,96,-7.61,15.06,67.66,1.45
339,mian channun,0,PK,1580357761,73,30.44,72.35,49.19,3.56
340,ryotsu,75,JP,1580357761,87,38.08,138.43,51.8,6.93
341,quatre cocos,40,MU,1580357761,78,-20.21,57.76,77.0,6.89
342,paita,62,PE,1580357761,63,-5.09,-81.11,78.3,6.58
343,veinticinco de mayo,100,AR,1580357761,69,-35.43,-60.17,57.63,9.4
344,xining,0,CN,1580357761,24,36.62,101.77,22.17,4.83
345,rizhao,0,CN,1580357762,47,35.43,119.46,36.34,18.16
346,geraldton,40,AU,1580357477,38,-28.77,114.6,77.0,18.34
347,madaoua,0,NE,1580357762,7,14.07,5.96,66.04,11.14
348,klaksvik,76,FO,1580357762,70,62.23,-6.59,35.6,2.24
349,longyearbyen,20,SJ,1580357762,62,78.22,15.64,21.2,11.41
350,egvekinot,17,RU,1580357762,84,66.32,-179.17,-17.54,6.11
351,cabedelo,20,BR,1580357762,88,-6.98,-34.83,77.0,4.7
352,ottawa,5,CA,1580357472,84,45.41,-75.7,9.0,3.36
353,usevya,100,TZ,1580357762,96,-7.1,31.23,64.42,0.11
354,nyurba,100,RU,1580357762,97,63.28,118.33,-3.41,3.31
355,ishigaki,75,JP,1580357763,51,24.34,124.16,60.8,13.87
356,port lincoln,0,AU,1580357763,16,-34.73,135.87,98.35,16.02
357,maneadero,68,MX,1580357763,75,31.72,-116.57,55.99,1.01
358,cockburn town,0,TC,1580357763,66,21.46,-71.14,77.59,3.89
359,manoel urbano,66,BR,1580357763,97,-8.84,-69.26,71.13,1.48
360,progreso,5,MX,1580357655,64,21.28,-89.67,73.4,6.93
361,college,90,US,1580357716,68,64.86,-147.8,-9.0,4.47
362,jacobabad,52,PK,1580357763,62,28.28,68.44,53.87,6.85
363,inhambane,20,MZ,1580357763,88,-23.86,35.38,69.8,8.23
364,namibe,100,AO,1580357533,79,-15.2,12.15,75.61,5.41
365,churapcha,0,RU,1580357764,84,62.0,132.43,-16.44,8.14
366,norman wells,75,CA,1580357764,67,65.28,-126.83,-22.0,8.05
367,clyde river,90,CA,1580357764,74,70.47,-68.59,-22.0,4.7
368,gamba,100,GA,1580357764,84,-2.65,10.0,78.75,1.88
369,aguimes,100,ES,1580357764,31,27.91,-15.45,70.0,5.82
370,brae,93,GB,1580357567,100,60.4,-1.35,42.8,1.12
371,lambarene,100,GA,1580357764,95,-0.7,10.24,75.13,1.63
372,gornopravdinsk,31,RU,1580357572,99,60.05,69.9,-21.46,2.77
373,mahajanga,20,MG,1580357765,94,-15.72,46.32,80.6,2.24
374,sofiyivka,41,UA,1580357765,78,48.05,33.87,32.0,17.9
375,atasu,100,KZ,1580357765,67,48.68,71.64,1.62,5.46
376,davenda,77,RU,1580357765,87,53.56,119.32,1.42,2.33
377,pevek,100,RU,1580357765,97,69.7,170.31,-18.47,6.91
378,imeni poliny osipenko,0,RU,1580357765,83,52.42,136.49,5.47,3.33
379,chiriqui grande,78,PA,1580357765,100,8.95,-82.12,63.0,3.91
380,tucuma,100,BR,1580357765,89,-0.18,-50.05,77.4,7.47
381,hearst,100,CA,1580357691,93,49.68,-83.67,6.64,3.76
382,petaluma,1,US,1580357766,87,38.23,-122.64,55.99,4.03
383,kashi,98,CN,1580357766,57,39.45,75.98,23.0,11.18
384,hamilton,90,US,1580357723,74,39.18,-84.53,34.0,3.36
385,bilibino,98,RU,1580357600,100,68.05,166.44,-30.44,1.9
386,joshimath,2,IN,1580357766,59,30.57,79.57,21.81,9.37
387,waingapu,0,ID,1580357766,78,-9.66,120.26,84.43,13.69
388,oranjemund,11,NA,1580357766,92,-28.55,16.43,60.67,6.38
389,tharad,0,IN,1580357766,38,24.4,71.63,59.22,7.72
390,luderitz,0,NA,1580357766,91,-26.65,15.16,63.7,20.78
391,nago,40,JP,1580357767,48,26.59,127.98,60.8,26.4
392,dhanwar,67,IN,1580357767,64,24.42,85.98,65.75,6.04
393,bonito,25,BR,1580357767,83,-21.12,-56.48,76.03,7.7
394,kijang,54,KR,1580357617,39,35.24,129.21,50.0,5.82
395,sumbe,100,AO,1580357767,90,-11.21,13.84,74.98,3.49
396,mount isa,40,AU,1580357767,62,-20.73,139.5,89.6,17.22
397,nefteyugansk,0,RU,1580357767,74,61.1,72.6,-27.4,8.95
398,balkhash,97,KZ,1580357767,70,46.84,74.98,-0.4,17.9
399,la ronge,90,CA,1580357767,100,55.1,-105.28,21.2,14.99
400,kenora,20,CA,1580357768,85,49.82,-94.43,17.6,4.7
401,koumac,35,NC,1580357534,56,-20.57,164.28,81.19,1.48
402,omboue,98,GA,1580357768,94,-1.57,9.26,75.43,2.42
403,vila velha,20,BR,1580357489,88,-20.33,-40.29,78.8,6.93
404,san luis,0,AR,1580357615,34,-33.3,-66.34,71.67,12.8
405,waitati,78,NZ,1580357768,66,-45.75,170.57,68.0,1.01
406,tutoia,54,BR,1580357768,94,-2.76,-42.27,75.69,3.04
407,kozulka,75,UA,1580357768,95,50.04,23.8,32.0,11.18
408,dunedin,78,NZ,1580357768,66,-45.87,170.5,68.0,1.01
409,port-gentil,71,GA,1580357768,80,-0.72,8.78,82.71,9.75
410,katherine,1,AU,1580357769,49,-14.47,132.27,93.2,9.17
411,sur,0,OM,1580357769,57,22.57,59.53,61.21,3.44
412,wasilla,90,US,1580357769,80,61.58,-149.44,30.2,20.8
413,constitucion,0,CL,1580357769,71,-35.33,-72.42,55.67,3.71
414,champerico,0,GT,1580357769,79,14.3,-91.92,75.24,2.33
415,bubaque,100,GW,1580357769,73,11.28,-15.83,77.16,10.07
416,seguela,0,CI,1580357770,21,7.96,-6.67,70.2,3.62
417,seminole,1,US,1580357770,87,28.71,-81.21,64.0,4.7
418,cantagallo,71,CO,1580357770,82,7.38,-73.92,75.31,2.93
419,antofagasta,79,CL,1580357770,77,-23.65,-70.4,72.0,14.99
420,lovozero,100,RU,1580357770,86,68.0,35.01,-2.02,9.53
421,margate,75,GB,1580357770,93,51.38,1.39,48.2,11.41
422,makat,100,KZ,1580357770,87,47.65,53.35,33.03,18.19
423,solnechnyy,0,RU,1580357770,64,50.72,136.63,15.31,3.58
424,mikhaylovka,100,RU,1580357770,96,50.06,43.24,37.0,7.0
425,padang,100,ID,1580357771,55,-0.95,100.35,80.51,2.46
426,shaghat,0,AM,1580357771,85,39.56,45.91,21.2,6.93
427,cabatuan,100,PH,1580357771,65,10.88,122.49,82.99,8.1
428,rexburg,90,US,1580357661,92,43.83,-111.79,28.99,9.17
429,diffa,88,NE,1580357771,14,13.32,12.61,63.28,11.21
430,butembo,80,CD,1580357771,77,0.15,29.28,62.44,3.47
431,hovd,0,MN,1580357572,44,48.01,91.64,2.01,6.13
432,baculin,8,PH,1580357771,77,7.45,126.58,79.61,6.26
433,saldanha,0,ZA,1580357771,72,-33.01,17.94,59.0,8.05
434,sapa,72,PH,1580357772,77,5.15,120.32,81.79,17.47
435,chernyshevskiy,94,RU,1580357772,95,63.01,112.47,6.19,8.86
436,conde,20,BR,1580357772,88,-7.26,-34.91,77.0,4.7
437,aripuana,100,BR,1580357768,97,-9.17,-60.63,74.48,1.21
438,guerrero negro,15,MX,1580357772,76,27.98,-114.06,59.31,15.32
439,davila,75,PH,1580357772,73,18.47,120.58,77.0,11.41
440,priiskovyy,76,RU,1580357772,92,51.93,116.63,-0.31,2.55
441,presidente olegario,100,BR,1580357772,100,-18.42,-46.42,68.0,0.51
442,rio claro,85,BR,1580357609,71,-22.41,-47.56,77.0,4.0
443,ous,100,RU,1580357773,94,60.91,61.52,-6.66,4.81
444,marsa matruh,0,EG,1580357773,81,31.35,27.25,50.0,9.17
445,avera,90,US,1580357773,81,33.19,-82.53,48.2,6.93
446,mitu,100,CO,1580357773,72,1.2,-70.17,76.69,2.24
447,atambua,87,ID,1580357773,68,-9.11,124.89,84.7,7.05
448,riyadh,32,SA,1580357521,35,24.69,46.72,50.0,3.36
449,labytnangi,60,RU,1580357493,87,66.66,66.42,-19.73,2.08
450,tambopata,100,PE,1580357773,95,-12.73,-69.18,71.26,2.33
451,wloszczowa,100,PL,1580357774,71,50.85,19.97,37.99,8.01
452,tambacounda,67,SN,1580357774,14,13.75,-13.76,77.0,6.93
453,nexo,100,DK,1580357774,93,55.06,15.13,41.0,24.16
454,phan thiet,42,VN,1580357647,52,10.93,108.1,84.09,5.93
455,nsanje,100,MW,1580357774,97,-16.92,35.26,71.01,2.39
456,cambados,90,ES,1580357774,93,42.51,-8.81,61.0,11.41
457,svobodnyy,0,RU,1580357774,71,51.4,128.13,1.26,0.87
458,chapais,1,CA,1580357774,83,49.78,-74.85,-11.2,1.25
459,martapura,40,ID,1580357740,83,-3.42,114.85,82.4,4.7
460,yumen,0,CN,1580357775,28,40.28,97.2,28.27,0.96
461,sleaford,98,GB,1580357775,87,53.0,-0.41,46.99,18.34
462,salinas,1,US,1580357744,81,36.68,-121.66,54.0,3.36
463,cotonou,40,BJ,1580357775,94,6.37,2.42,78.8,3.36
464,sisimiut,31,GL,1580357775,87,66.94,-53.67,-6.27,5.7
465,buala,100,SB,1580357775,71,-8.14,159.59,84.81,0.49
466,dourados,0,BR,1580357775,82,-22.22,-54.81,75.22,8.28
467,zyryanka,79,RU,1580357775,80,65.75,150.85,-18.8,10.69
468,port hedland,0,AU,1580357541,10,-20.32,118.57,109.4,6.93
469,balikpapan,40,ID,1580357521,88,-1.27,116.83,80.6,10.29
470,dzilam gonzalez,18,MX,1580357776,74,21.28,-88.93,73.96,17.94
471,stornoway,100,GB,1580357776,93,58.21,-6.39,44.01,10.29
472,abashiri,75,JP,1580357776,98,44.02,144.27,32.0,17.22
473,arlit,0,NE,1580357776,10,18.74,7.39,67.19,6.73
474,madang,100,PG,1580357776,78,-5.22,145.8,82.24,9.44
475,isilkul,56,RU,1580357776,94,54.91,71.27,-12.19,5.93
476,kabelvag,100,NO,1580357776,67,68.21,14.48,32.0,8.99
477,faranah,0,GN,1580357776,16,10.04,-10.74,65.89,2.62
478,sompeta,0,IN,1580357776,59,18.93,84.6,77.7,1.63
479,terrace,90,CA,1580357777,93,54.52,-128.6,35.6,14.99
480,houma,90,US,1580357692,87,29.6,-90.72,55.99,9.17
481,auki,100,SB,1580357636,69,-8.77,160.7,85.03,4.41
482,maxixe,20,MZ,1580357603,88,-23.86,35.35,69.8,8.23
483,marzuq,0,YE,1580357777,70,14.4,46.47,53.8,1.25
484,coahuayana,75,MX,1580357777,93,18.73,-103.68,66.2,2.08
485,codrington,0,AU,1580357777,44,-38.27,141.97,76.53,8.48
486,channel-port aux basques,100,CA,1580357777,94,47.57,-59.14,23.85,5.57
487,narrabri,12,AU,1580357777,29,-30.32,149.78,100.99,10.29
488,agadez,0,NE,1580357587,11,19.75,10.25,60.15,3.6
489,sobolevo,100,RU,1580357778,97,54.43,31.9,33.15,9.73
490,ayna,100,PE,1580357778,94,-12.65,-73.92,56.7,1.97
491,simao,0,CN,1580357778,53,22.79,100.97,60.64,2.06
492,walvis bay,33,NA,1580357778,93,-22.96,14.51,63.0,6.93
493,cairns,40,AU,1580357590,83,-16.92,145.77,84.0,6.93
494,aksha,49,RU,1580357778,94,50.28,113.29,0.7,2.01
495,grand gaube,40,MU,1580357778,78,-20.01,57.66,77.0,7.18
496,sri aman,75,MY,1580357779,83,1.24,111.46,84.2,2.24
497,ahome,20,MX,1580357646,68,25.92,-109.18,66.2,3.56
498,nizhniy tsasuchey,65,RU,1580357779,85,50.52,115.13,0.45,5.55
499,narsaq,20,GL,1580357620,61,60.92,-46.05,14.0,3.36
500,verkhnyaya inta,94,RU,1580357779,98,65.98,60.31,-14.71,3.6
501,sembe,46,CG,1580357779,71,1.65,14.58,69.46,3.56
502,mombaca,100,BR,1580357780,92,-5.74,-39.63,73.63,1.45
503,kunya,0,NG,1580357780,12,12.22,8.53,63.37,8.25
504,maniitsoq,92,GL,1580357532,72,65.42,-52.9,5.02,8.81
505,la rioja,90,ES,1580357780,93,42.25,-2.5,48.2,2.24
506,karasjok,100,NO,1580357780,78,69.47,25.51,14.0,54.13
507,santiago,0,CL,1580357578,45,-33.46,-70.65,70.0,10.29
508,vardo,75,NO,1580357780,61,70.37,31.11,17.6,11.41
509,byron bay,75,AU,1580357780,66,-28.65,153.62,89.01,10.29
510,kalianget,100,ID,1580357780,68,-7.05,113.93,86.31,9.71
511,alora,100,ES,1580357780,93,36.82,-4.71,55.99,6.93
512,hualmay,98,PE,1580357781,78,-11.1,-77.61,71.24,3.89
513,guamuchil,99,MX,1580357781,93,25.47,-108.1,57.99,1.01
514,kumsi,0,IN,1580357781,64,14.07,75.4,70.68,1.59
515,barinas,37,VE,1580357781,50,8.62,-70.21,79.84,4.34
516,olinda,40,BR,1580357600,66,-8.01,-34.86,84.2,9.17
517,tateyama,20,JP,1580357781,42,34.98,139.87,62.6,12.75
518,tawau,75,MY,1580357781,70,4.25,117.89,86.0,5.82
519,burgeo,100,CA,1580357782,83,47.62,-57.62,26.92,23.51
520,iquique,0,CL,1580357521,60,-20.22,-70.14,75.2,10.29
521,itaituba,85,BR,1580357782,93,-4.28,-55.98,73.6,0.98
522,buzdyak,100,RU,1580357782,94,54.58,54.55,13.6,10.85
523,riachao das neves,100,BR,1580357782,94,-11.75,-44.91,70.36,2.73
524,nong khai,40,TH,1580357782,60,17.88,102.74,69.8,6.93
525,adrar,100,MR,1580357782,18,20.5,-10.07,66.4,11.79
526,tubuala,40,PA,1580357782,83,9.52,-79.03,77.0,6.93
527,kilindoni,35,TZ,1580357782,80,-7.91,39.67,82.11,10.47
528,kembe,100,CF,1580357782,33,4.62,21.89,64.53,1.9
529,nandu,0,CN,1580357783,50,22.85,110.82,63.0,1.01
530,marawi,74,PH,1580357783,80,8.0,124.29,82.0,5.99
531,wajima,75,JP,1580357783,93,37.4,136.9,44.6,11.41
532,ust-kuyga,100,RU,1580357783,97,70.02,135.6,-15.97,6.4
533,petropavlovka,100,RU,1580357783,79,50.61,105.32,9.84,3.09
534,esperance,75,AU,1580357556,60,-33.87,121.9,75.2,9.17
535,khash,0,IR,1580357783,45,28.22,61.22,39.56,4.81
536,santa maria del oro,100,MX,1580357783,37,25.93,-105.37,51.33,18.72
537,damghan,100,IR,1580357784,59,36.17,54.35,34.61,2.21
538,ongole,0,IN,1580357784,74,15.5,80.05,76.1,3.83
539,quelimane,40,MZ,1580357784,88,-17.88,36.89,78.8,3.36
540,prince george,1,CA,1580357784,51,53.92,-122.75,37.99,9.17
541,faanui,99,PF,1580357585,72,-16.48,-151.75,82.47,7.4
542,zaysan,83,KZ,1580357784,91,47.47,84.87,-4.34,0.18
543,naro-fominsk,90,RU,1580357784,96,55.39,36.73,32.0,11.18
544,doume,100,CM,1580357784,38,4.23,13.45,61.16,3.49
545,manzhouli,100,CN,1580357784,98,49.6,117.43,-6.56,4.09
546,leh,79,IN,1580357554,44,34.17,77.58,-12.23,3.74
547,vila franca do campo,75,PT,1580357785,93,37.72,-25.43,62.6,12.75
548,lumphat,86,KH,1580357785,59,13.49,106.98,76.62,7.83
549,kachiry,7,KZ,1580357785,95,53.07,76.1,-13.88,6.87
550,tandil,84,AR,1580357785,63,-37.32,-59.13,55.0,1.01
551,konevo,29,RU,1580357785,96,62.12,39.32,1.27,4.59
552,ust-omchug,28,RU,1580357785,85,61.15,149.63,-22.07,4.0
553,porto santo,20,PT,1580357785,72,33.07,-16.34,59.0,3.36
554,roald,72,NO,1580357785,86,62.58,6.13,37.99,12.75
555,kudahuvadhoo,0,MV,1580357785,77,2.67,72.89,80.46,15.32
556,shingu,40,JP,1580357786,50,33.73,135.98,53.6,16.11
557,doha,0,QA,1580357584,82,25.29,51.53,61.0,5.82
558,saint-augustin,100,CA,1580357786,82,51.23,-58.65,11.01,15.9
559,dzerzhinskoye,100,RU,1580357786,83,56.83,95.23,0.07,10.98
560,araouane,0,ML,1580357786,21,18.9,-3.53,67.35,13.51
561,eureka,90,US,1580357786,87,40.8,-124.16,54.0,5.82
562,bukoba,75,TZ,1580357786,93,-1.33,31.81,66.2,12.24
563,dalbandin,0,PK,1580357786,51,28.89,64.41,42.3,3.56
564,north platte,20,US,1580357786,86,41.12,-100.77,35.01,4.7
565,naron,52,ES,1580357786,82,43.52,-8.15,59.0,13.87
566,puerto quijarro,100,BO,1580357787,74,-17.78,-57.77,77.99,5.66
567,bambanglipuro,100,ID,1580357787,94,-7.95,110.28,75.6,9.22
568,arman,0,RU,1580357787,83,59.7,150.17,-5.39,9.15
569,susanville,1,US,1580357787,69,40.42,-120.65,39.2,4.7
